ADMIN_DATE,RECIP_ID
2020-12-14,178
2020-12-15,564
2020-12-16,1387
2020-12-17,1700
2020-12-18,2680
2020-12-19,433
2020-12-20,93
2020-12-21,2613
2020-12-22,4956
2020-12-23,9257
2020-12-24,1792
2020-12-25,1
2020-12-26,605
2020-12-27,492
2020-12-28,8667
2020-12-29,7508
2020-12-30,9669
2020-12-31,5063
2021-01-01,240
2021-01-02,1974
2021-01-03,1381
2021-01-04,6116
2021-01-05,7478
2021-01-06,8678
2021-01-07,8208
2021-01-08,10508
2021-01-09,3367
2021-01-10,1337
2021-01-11,7834
2021-01-12,8947
2021-01-13,9057
2021-01-14,9443
2021-01-15,7329
2021-01-16,3809
2021-01-17,1464
2021-01-18,8541
2021-01-19,8371
2021-01-20,12237
2021-01-21,10309
2021-01-22,10194
2021-01-23,3234
2021-01-24,2304
2021-01-25,10569
2021-01-26,10458
2021-01-27,16798
2021-01-28,13974
2021-01-29,14863
2021-01-30,4002
2021-01-31,2454
2021-02-01,12389
2021-02-02,14368
2021-02-03,19682
2021-02-04,15533
2021-02-05,28215
2021-02-06,17346
2021-02-07,6411
2021-02-08,16872
2021-02-09,18831
2021-02-10,28134
2021-02-11,27878
2021-02-12,31501
2021-02-13,14512
2021-02-14,4364
2021-02-15,11666
2021-02-16,13488
2021-02-17,22822
2021-02-18,21102
2021-02-19,20447
2021-02-20,7120
2021-02-21,2047
2021-02-22,7568
2021-02-23,14367
2021-02-24,25886
2021-02-25,27048
2021-02-26,29540
2021-02-27,15435
2021-02-28,4655
2021-03-01,13386
2021-03-02,19096
2021-03-03,33231
2021-03-04,37796
2021-03-05,48345
2021-03-06,24989
2021-03-07,6629
2021-03-08,21397
2021-03-09,29214
2021-03-10,33490
2021-03-11,42449
2021-03-12,46243
2021-03-13,21871
2021-03-14,5050
2021-03-15,16924
2021-03-16,30895
2021-03-17,35365
2021-03-18,39138
2021-03-19,33959
2021-03-20,15125
2021-03-21,5753
2021-03-22,14765
2021-03-23,22866
2021-03-24,37625
2021-03-25,49182
2021-03-26,40890
2021-03-27,18727
2021-03-28,5427
2021-03-29,20439
2021-03-30,28987
2021-03-31,38969
2021-04-01,46282
2021-04-02,32987
2021-04-03,16221
2021-04-04,2576
2021-04-05,22211
2021-04-06,37341
2021-04-07,44108
2021-04-08,51620
2021-04-09,50104
2021-04-10,24322
2021-04-11,8234
2021-04-12,22333
2021-04-13,28927
2021-04-14,33120
2021-04-15,37167
2021-04-16,33575
2021-04-17,19371
2021-04-18,6912
2021-04-19,15896
2021-04-20,30749
2021-04-21,32758
2021-04-22,36599
2021-04-23,32309
2021-04-24,18163
2021-04-25,4830
2021-04-26,16007
2021-04-27,25087
2021-04-28,29431
2021-04-29,29438
2021-04-30,29944
2021-05-01,12724
2021-05-02,5290
2021-05-03,14589
2021-05-04,19303
2021-05-05,22245
2021-05-06,23237
2021-05-07,21880
2021-05-08,12783
2021-05-09,4394
2021-05-10,10036
2021-05-11,14112
2021-05-12,16470
2021-05-13,21118
2021-05-14,24304
2021-05-15,13743
2021-05-16,6561
2021-05-17,13269
2021-05-18,15828
2021-05-19,16992
2021-05-20,15198
2021-05-21,18993
2021-05-22,8391
2021-05-23,3629
2021-05-24,8531
2021-05-25,9120
2021-05-26,9840
2021-05-27,9465
2021-05-28,9272
2021-05-29,3906
2021-05-30,2029
2021-05-31,758
2021-06-01,7113
2021-06-02,7227
2021-06-03,8256
2021-06-04,11215
2021-06-05,6442
2021-06-06,3425
2021-06-07,8148
2021-06-08,7753
2021-06-09,8925
2021-06-10,8060
2021-06-11,10300
2021-06-12,4962
2021-06-13,2650
2021-06-14,6894
2021-06-15,6432
2021-06-16,6568
2021-06-17,5677
2021-06-18,6981
2021-06-19,3043
2021-06-20,1608
2021-06-21,3970
2021-06-22,4400
2021-06-23,4841
2021-06-24,4346
2021-06-25,5204
2021-06-26,2658
2021-06-27,1352
2021-06-28,3863
2021-06-29,3736
2021-06-30,4022
2021-07-01,3619
2021-07-02,3957
2021-07-03,1652
2021-07-04,373
2021-07-05,2428
2021-07-06,3411
2021-07-07,3768
2021-07-08,3291
2021-07-09,4273
2021-07-10,1995
2021-07-11,1184
2021-07-12,3427
2021-07-13,3105
2021-07-14,3317
2021-07-15,3440
2021-07-16,4298
2021-07-17,1948
2021-07-18,1079
2021-07-19,3783
2021-07-20,3719
2021-07-21,4123
2021-07-22,4015
2021-07-23,4984
2021-07-24,2487
2021-07-25,1351
2021-07-26,4108
2021-07-27,4262
2021-07-28,4507
2021-07-29,4344
2021-07-30,5405
2021-07-31,2755
2021-08-01,1591
2021-08-02,4912
2021-08-03,5014
2021-08-04,5232
2021-08-05,5310
2021-08-06,6998
2021-08-07,3033
2021-08-08,1878
2021-08-09,5643
2021-08-10,5512
2021-08-11,5549
2021-08-12,5158
2021-08-13,6450
2021-08-14,2912
2021-08-15,1865
2021-08-16,5543
2021-08-17,5348
2021-08-18,5586
2021-08-19,5505
2021-08-20,7325
2021-08-21,3130
2021-08-22,1792
2021-08-23,5369
2021-08-24,4890
2021-08-25,5173
2021-08-26,5542
2021-08-27,7533
2021-08-28,3845
2021-08-29,2128
2021-08-30,2137
