ADMIN_DATE,RECIP_ID
2020-12-14,178
2020-12-15,564
2020-12-16,1387
2020-12-17,1700
2020-12-18,2678
2020-12-19,432
2020-12-20,93
2020-12-21,2612
2020-12-22,4954
2020-12-23,9256
2020-12-24,1791
2020-12-25,1
2020-12-26,605
2020-12-27,493
2020-12-28,8665
2020-12-29,7507
2020-12-30,9663
2020-12-31,5060
2021-01-01,237
2021-01-02,1974
2021-01-03,1381
2021-01-04,6116
2021-01-05,7475
2021-01-06,8674
2021-01-07,8207
2021-01-08,10505
2021-01-09,3367
2021-01-10,1336
2021-01-11,7828
2021-01-12,8943
2021-01-13,9052
2021-01-14,9439
2021-01-15,7321
2021-01-16,3809
2021-01-17,1462
2021-01-18,8541
2021-01-19,8366
2021-01-20,12231
2021-01-21,10296
2021-01-22,10185
2021-01-23,3229
2021-01-24,2301
2021-01-25,10566
2021-01-26,10454
2021-01-27,16783
2021-01-28,13965
2021-01-29,14849
2021-01-30,3997
2021-01-31,2451
2021-02-01,12370
2021-02-02,14295
2021-02-03,19667
2021-02-04,15522
2021-02-05,28202
2021-02-06,17343
2021-02-07,6407
2021-02-08,16862
2021-02-09,18816
2021-02-10,28127
2021-02-11,27864
2021-02-12,31490
2021-02-13,14500
2021-02-14,4361
2021-02-15,11654
2021-02-16,13483
2021-02-17,22817
2021-02-18,21089
2021-02-19,20434
2021-02-20,7109
2021-02-21,2045
2021-02-22,7557
2021-02-23,14360
2021-02-24,25876
2021-02-25,27034
2021-02-26,29516
2021-02-27,15424
2021-02-28,4651
2021-03-01,13374
2021-03-02,19080
2021-03-03,33206
2021-03-04,37788
2021-03-05,48331
2021-03-06,24982
2021-03-07,6627
2021-03-08,21389
2021-03-09,29202
2021-03-10,33476
2021-03-11,42438
2021-03-12,46230
2021-03-13,21858
2021-03-14,5043
2021-03-15,16897
2021-03-16,30881
2021-03-17,35354
2021-03-18,39126
2021-03-19,33944
2021-03-20,15118
2021-03-21,5750
2021-03-22,14753
2021-03-23,22860
2021-03-24,37610
2021-03-25,49167
2021-03-26,40869
2021-03-27,18721
2021-03-28,5422
2021-03-29,20433
2021-03-30,28691
2021-03-31,38667
2021-04-01,46135
2021-04-02,32975
2021-04-03,16219
2021-04-04,2566
2021-04-05,22198
2021-04-06,37312
2021-04-07,44094
2021-04-08,51610
2021-04-09,50084
2021-04-10,24317
2021-04-11,8232
2021-04-12,22304
2021-04-13,28887
2021-04-14,33093
2021-04-15,37136
2021-04-16,33527
2021-04-17,19325
2021-04-18,6912
2021-04-19,15880
2021-04-20,30745
2021-04-21,32744
2021-04-22,36592
2021-04-23,32299
2021-04-24,18159
2021-04-25,4829
2021-04-26,16005
2021-04-27,25075
2021-04-28,29419
2021-04-29,29429
2021-04-30,29923
2021-05-01,12723
2021-05-02,5290
2021-05-03,14564
2021-05-04,19264
2021-05-05,22230
2021-05-06,23228
2021-05-07,21860
2021-05-08,12776
2021-05-09,4394
2021-05-10,10025
2021-05-11,14107
2021-05-12,16461
2021-05-13,21032
2021-05-14,24293
2021-05-15,13695
2021-05-16,6560
2021-05-17,13268
2021-05-18,15826
2021-05-19,16982
2021-05-20,15190
2021-05-21,18976
2021-05-22,8388
2021-05-23,3629
2021-05-24,8531
2021-05-25,9118
2021-05-26,9837
2021-05-27,9454
2021-05-28,9265
2021-05-29,3904
2021-05-30,2029
2021-05-31,758
2021-06-01,7109
2021-06-02,7214
2021-06-03,8164
2021-06-04,11207
2021-06-05,6389
2021-06-06,3425
2021-06-07,8130
2021-06-08,7748
2021-06-09,8918
2021-06-10,8051
2021-06-11,10295
2021-06-12,4960
2021-06-13,2649
2021-06-14,6885
2021-06-15,6430
2021-06-16,6563
2021-06-17,5664
2021-06-18,6972
2021-06-19,3042
2021-06-20,1607
2021-06-21,3962
2021-06-22,4396
2021-06-23,4830
2021-06-24,4341
2021-06-25,5196
2021-06-26,2656
2021-06-27,1352
2021-06-28,3853
2021-06-29,3732
2021-06-30,4016
2021-07-01,3615
2021-07-02,3955
2021-07-03,1651
2021-07-04,373
2021-07-05,2422
2021-07-06,3408
2021-07-07,3759
2021-07-08,3288
2021-07-09,4266
2021-07-10,1994
2021-07-11,1184
2021-07-12,3421
2021-07-13,3101
2021-07-14,3311
2021-07-15,3429
2021-07-16,4289
2021-07-17,1945
2021-07-18,1079
2021-07-19,3779
2021-07-20,3709
2021-07-21,4105
2021-07-22,3994
2021-07-23,4962
2021-07-24,2478
2021-07-25,1347
2021-07-26,4094
2021-07-27,4250
2021-07-28,4488
2021-07-29,4321
2021-07-30,5378
2021-07-31,2752
2021-08-01,1588
2021-08-02,4889
2021-08-03,4997
2021-08-04,5210
2021-08-05,5265
2021-08-06,6957
2021-08-07,3019
2021-08-08,1876
2021-08-09,5617
2021-08-10,5483
2021-08-11,5513
2021-08-12,5097
2021-08-13,6389
2021-08-14,2901
2021-08-15,1863
2021-08-16,5506
2021-08-17,5288
2021-08-18,5406
2021-08-19,2360
